card_id,card_type
CARD_22563,payment_card
CARD_16104,payment_card
CARD_22374,payment_card
CARD_22006,payment_card
CARD_11109,payment_card
CARD_23517,payment_card
CARD_21363,payment_card
CARD_19410,payment_card
CARD_18358,payment_card
CARD_16435,payment_card
CARD_20806,payment_card
CARD_14147,payment_card
CARD_13199,payment_card
CARD_17830,payment_card
CARD_17784,payment_card
CARD_15916,payment_card
CARD_14534,payment_card
CARD_15908,payment_card
CARD_12010,payment_card
CARD_18454,payment_card
CARD_14796,payment_card
CARD_13610,payment_card
CARD_15469,payment_card
CARD_10660,payment_card
CARD_17736,payment_card
CARD_23029,payment_card
CARD_18494,payment_card
CARD_22351,payment_card
CARD_11371,payment_card
CARD_22432,payment_card
CARD_16493,payment_card
CARD_16482,payment_card
CARD_15663,payment_card
CARD_19248,payment_card
CARD_11841,payment_card
CARD_17011,payment_card
CARD_14350,payment_card
CARD_19600,payment_card
CARD_10114,payment_card
CARD_14089,payment_card
CARD_22755,payment_card
CARD_13611,payment_card
CARD_16535,payment_card
CARD_12570,payment_card
CARD_15887,payment_card
CARD_14718,payment_card
CARD_11453,payment_card
CARD_19392,payment_card
CARD_13191,payment_card
CARD_10533,payment_card
CARD_16300,payment_card
CARD_10517,payment_card
CARD_22904,payment_card
CARD_21703,payment_card
CARD_12833,payment_card
CARD_19707,payment_card
CARD_22941,payment_card
CARD_20698,payment_card
CARD_22862,payment_card
CARD_13556,payment_card
CARD_17519,payment_card
CARD_15600,payment_card
CARD_18632,payment_card
CARD_12525,payment_card
CARD_10709,payment_card
CARD_13515,payment_card
CARD_21040,payment_card
CARD_11757,payment_card
CARD_17912,payment_card
CARD_15620,payment_card
CARD_14674,payment_card
CARD_17283,payment_card
CARD_23330,payment_card
CARD_12520,payment_card
CARD_14251,payment_card
CARD_12382,payment_card
CARD_22413,payment_card
CARD_22474,payment_card
CARD_23354,payment_card
CARD_13027,payment_card
CARD_20446,payment_card
CARD_23232,payment_card
CARD_18799,payment_card
CARD_20646,payment_card
CARD_20080,payment_card
CARD_14447,payment_card
CARD_18228,payment_card
CARD_16376,payment_card
CARD_15326,payment_card
CARD_15876,payment_card
CARD_20397,payment_card
CARD_21174,payment_card
CARD_18031,payment_card
CARD_21097,payment_card
CARD_14761,payment_card
CARD_16144,payment_card
CARD_22902,payment_card
CARD_13321,payment_card
CARD_20787,payment_card
CARD_18478,payment_card
CARD_12346,payment_card
CARD_17443,payment_card
CARD_11561,payment_card
CARD_12537,payment_card
CARD_23089,payment_card
CARD_13095,payment_card
CARD_11520,payment_card
CARD_22914,payment_card
CARD_12971,payment_card
CARD_15052,payment_card
CARD_20009,payment_card
CARD_18618,payment_card
CARD_22461,payment_card
CARD_22583,payment_card
CARD_20892,payment_card
CARD_14469,payment_card
CARD_12303,payment_card
CARD_10099,payment_card
CARD_16862,payment_card
CARD_23024,payment_card
CARD_11753,payment_card
CARD_15928,payment_card
CARD_14332,payment_card
CARD_15986,payment_card
CARD_12884,payment_card
CARD_16199,payment_card
CARD_22782,payment_card
CARD_10553,payment_card
CARD_22709,payment_card
CARD_16362,payment_card
CARD_13688,payment_card
CARD_17805,payment_card
CARD_17185,payment_card
CARD_13600,payment_card
CARD_22984,payment_card
CARD_15835,payment_card
CARD_16488,payment_card
CARD_17968,payment_card
CARD_23224,payment_card
CARD_20540,payment_card
CARD_16429,payment_card
CARD_18167,payment_card
CARD_20714,payment_card
CARD_19725,payment_card
CARD_22289,payment_card
CARD_14243,payment_card
CARD_16511,payment_card
CARD_16212,payment_card
CARD_19195,payment_card
CARD_20506,payment_card
CARD_11638,payment_card
CARD_19549,payment_card
CARD_21598,payment_card
CARD_21222,payment_card
CARD_20270,payment_card
CARD_22121,payment_card
CARD_14465,payment_card
CARD_16389,payment_card
CARD_12553,payment_card
CARD_17715,payment_card
CARD_12852,payment_card
CARD_21775,payment_card
CARD_17205,payment_card
CARD_11743,payment_card
CARD_12600,payment_card
CARD_13594,payment_card
CARD_12425,payment_card
CARD_10383,payment_card
CARD_18650,payment_card
CARD_10852,payment_card
CARD_12711,payment_card
CARD_17525,payment_card
CARD_15051,payment_card
CARD_10381,payment_card
CARD_12436,payment_card
CARD_18405,payment_card
CARD_23292,payment_card
CARD_22451,payment_card
CARD_22533,payment_card
CARD_13285,payment_card
CARD_19842,payment_card
CARD_22748,payment_card
CARD_23194,payment_card
CARD_20065,payment_card
CARD_13073,payment_card
CARD_17210,payment_card
CARD_11341,payment_card
CARD_21514,payment_card
CARD_15582,payment_card
CARD_12542,payment_card
CARD_15897,payment_card
