transaction_id,email_id
3000001,EMAIL_yahoo.com
3000002,EMAIL_gmail.com
3000003,EMAIL_hotmail.com
3000004,EMAIL_hotmail.com
3000005,EMAIL_UNKNOWN_EMAIL
3000006,EMAIL_hotmail.com
3000007,EMAIL_yahoo.com
3000008,EMAIL_gmail.com
3000009,EMAIL_gmail.com
3000010,EMAIL_gmail.com
3000011,EMAIL_UNKNOWN_EMAIL
3000012,EMAIL_UNKNOWN_EMAIL
3000013,EMAIL_gmail.com
3000014,EMAIL_gmail.com
3000015,EMAIL_hotmail.com
3000016,EMAIL_hotmail.com
3000017,EMAIL_gmail.com
3000018,EMAIL_hotmail.com
3000019,EMAIL_gmail.com
3000020,EMAIL_hotmail.com
3000021,EMAIL_yahoo.com
3000022,EMAIL_gmail.com
3000023,EMAIL_UNKNOWN_EMAIL
3000024,EMAIL_gmail.com
3000025,EMAIL_UNKNOWN_EMAIL
3000026,EMAIL_gmail.com
3000027,EMAIL_UNKNOWN_EMAIL
3000028,EMAIL_comcast.net
3000029,EMAIL_comcast.net
3000030,EMAIL_gmail.com
3000031,EMAIL_gmail.com
3000032,EMAIL_UNKNOWN_EMAIL
3000033,EMAIL_gmail.com
3000034,EMAIL_gmail.com
3000035,EMAIL_yahoo.com
3000036,EMAIL_gmail.com
3000037,EMAIL_UNKNOWN_EMAIL
3000038,EMAIL_anonymous.com
3000039,EMAIL_UNKNOWN_EMAIL
3000040,EMAIL_gmail.com
3000041,EMAIL_gmail.com
3000042,EMAIL_yahoo.com
3000043,EMAIL_gmail.com
3000044,EMAIL_gmail.com
3000045,EMAIL_yahoo.com
3000046,EMAIL_gmail.com
3000047,EMAIL_yahoo.com
3000048,EMAIL_live.com
3000049,EMAIL_yahoo.com
3000050,EMAIL_hotmail.com
3000051,EMAIL_gmail.com
3000052,EMAIL_gmail.com
3000053,EMAIL_hotmail.com
3000054,EMAIL_gmail.com
3000055,EMAIL_aol.com
3000056,EMAIL_UNKNOWN_EMAIL
3000057,EMAIL_hotmail.com
3000058,EMAIL_yahoo.com
3000059,EMAIL_yahoo.com
3000060,EMAIL_UNKNOWN_EMAIL
3000061,EMAIL_gmail.com
3000062,EMAIL_gmail.com
3000063,EMAIL_UNKNOWN_EMAIL
3000064,EMAIL_gmail.com
3000065,EMAIL_aol.com
3000066,EMAIL_gmail.com
3000067,EMAIL_yahoo.com
3000068,EMAIL_anonymous.com
3000069,EMAIL_icloud.com
3000070,EMAIL_UNKNOWN_EMAIL
3000071,EMAIL_UNKNOWN_EMAIL
3000072,EMAIL_UNKNOWN_EMAIL
3000073,EMAIL_aol.com
3000074,EMAIL_gmail.com
3000075,EMAIL_yahoo.com
3000076,EMAIL_anonymous.com
3000077,EMAIL_gmail.com
3000078,EMAIL_hotmail.com
3000079,EMAIL_hotmail.com
3000080,EMAIL_gmail.com
3000081,EMAIL_UNKNOWN_EMAIL
3000082,EMAIL_yahoo.com
3000083,EMAIL_gmail.com
3000084,EMAIL_gmail.com
3000085,EMAIL_UNKNOWN_EMAIL
3000086,EMAIL_hotmail.com
3000087,EMAIL_hotmail.com
3000088,EMAIL_UNKNOWN_EMAIL
3000089,EMAIL_msn.com
3000090,EMAIL_gmail.com
3000091,EMAIL_UNKNOWN_EMAIL
3000092,EMAIL_gmail.com
3000093,EMAIL_hotmail.com
3000094,EMAIL_gmail.com
3000095,EMAIL_gmail.com
3000096,EMAIL_yahoo.com
3000097,EMAIL_gmail.com
3000098,EMAIL_UNKNOWN_EMAIL
3000099,EMAIL_UNKNOWN_EMAIL
3000100,EMAIL_gmail.com
3000101,EMAIL_hotmail.com
3000102,EMAIL_yahoo.com
3000103,EMAIL_hotmail.com
3000104,EMAIL_gmail.com
3000105,EMAIL_yahoo.com
3000106,EMAIL_hotmail.com
3000107,EMAIL_hotmail.com
3000108,EMAIL_UNKNOWN_EMAIL
3000109,EMAIL_gmail.com
3000110,EMAIL_gmail.com
3000111,EMAIL_hotmail.com
3000112,EMAIL_UNKNOWN_EMAIL
3000113,EMAIL_hotmail.com
3000114,EMAIL_hotmail.com
3000115,EMAIL_aol.com
3000116,EMAIL_UNKNOWN_EMAIL
3000117,EMAIL_yahoo.com
3000118,EMAIL_yahoo.com
3000119,EMAIL_UNKNOWN_EMAIL
3000120,EMAIL_outlook.com
3000121,EMAIL_gmail.com
3000122,EMAIL_icloud.com
3000123,EMAIL_hotmail.com
3000124,EMAIL_yahoo.com
3000125,EMAIL_UNKNOWN_EMAIL
3000126,EMAIL_UNKNOWN_EMAIL
3000127,EMAIL_gmail.com
3000128,EMAIL_comcast.net
3000129,EMAIL_UNKNOWN_EMAIL
3000130,EMAIL_yahoo.com
3000131,EMAIL_UNKNOWN_EMAIL
3000132,EMAIL_yahoo.com
3000133,EMAIL_gmail.com
3000134,EMAIL_gmail.com
3000135,EMAIL_gmail.com
3000136,EMAIL_aol.com
3000137,EMAIL_hotmail.com
3000138,EMAIL_hotmail.com
3000139,EMAIL_gmail.com
3000140,EMAIL_gmail.com
3000141,EMAIL_yahoo.com
3000142,EMAIL_gmail.com
3000143,EMAIL_UNKNOWN_EMAIL
3000144,EMAIL_gmail.com
3000145,EMAIL_gmail.com
3000146,EMAIL_verizon.net
3000147,EMAIL_gmail.com
3000148,EMAIL_yahoo.com
3000149,EMAIL_UNKNOWN_EMAIL
3000150,EMAIL_aol.com
3000151,EMAIL_UNKNOWN_EMAIL
3000152,EMAIL_UNKNOWN_EMAIL
3000153,EMAIL_gmail.com
3000154,EMAIL_outlook.com
3000155,EMAIL_gmail.com
3000156,EMAIL_hotmail.com
3000157,EMAIL_yahoo.com
3000158,EMAIL_UNKNOWN_EMAIL
3000159,EMAIL_aol.com
3000160,EMAIL_gmail.com
3000161,EMAIL_gmail.com
3000162,EMAIL_yahoo.com
3000163,EMAIL_yahoo.com
3000164,EMAIL_hotmail.com
3000165,EMAIL_UNKNOWN_EMAIL
3000166,EMAIL_gmail.com
3000167,EMAIL_anonymous.com
3000168,EMAIL_gmail.com
3000169,EMAIL_yahoo.com
3000170,EMAIL_UNKNOWN_EMAIL
3000171,EMAIL_yahoo.com
3000172,EMAIL_gmail.com
3000173,EMAIL_anonymous.com
3000174,EMAIL_UNKNOWN_EMAIL
3000175,EMAIL_mac.com
3000176,EMAIL_yahoo.com
