customer_id,transaction_id
C06075,3000001
C07096,3000002
C11919,3000003
C11919,3000004
C07867,3000005
C06743,3000006
C10193,3000007
C11923,3000008
C08925,3000009
C09301,3000010
C03218,3000011
C07867,3000012
C08945,3000013
C08945,3000014
C06598,3000015
C11923,3000016
C08662,3000017
C11919,3000018
C11709,3000019
C11923,3000020
C07648,3000021
C03575,3000022
C03847,3000023
C10234,3000024
C09711,3000025
C09339,3000026
C03622,3000027
C05704,3000028
C05704,3000029
C03218,3000030
C09947,3000031
C05704,3000032
C08945,3000033
C05283,3000034
C09711,3000035
C08945,3000036
C11709,3000037
C12942,3000038
C08945,3000039
C08662,3000040
C11923,3000041
C01109,3000042
C09363,3000043
C01525,3000044
C01909,3000045
C10906,3000046
C12593,3000047
C10193,3000048
C12593,3000049
C12961,3000050
C03363,3000051
C03218,3000052
C02354,3000053
C07648,3000054
C10745,3000055
C04108,3000056
C11923,3000057
C07870,3000058
C08945,3000059
C10333,3000060
C13171,3000061
C05283,3000062
C02231,3000063
C05362,3000064
C09301,3000065
C04960,3000066
C03218,3000067
C08945,3000068
C11000,3000069
C10679,3000070
C01953,3000071
C12961,3000072
C04108,3000073
C09221,3000074
C12758,3000075
C03218,3000076
C08924,3000077
C11923,3000078
C11923,3000079
C11625,3000080
C04105,3000081
C00750,3000082
C09486,3000083
C04597,3000084
C09221,3000085
C04108,3000086
C04108,3000087
C12517,3000088
C05854,3000089
C11709,3000090
C01909,3000091
C03230,3000092
C11923,3000093
C12136,3000094
C06872,3000095
C12517,3000096
C06248,3000097
C12961,3000098
C12094,3000099
C03218,3000100
C04108,3000101
C09363,3000102
C04108,3000103
C05312,3000104
C08742,3000105
C12961,3000106
C04108,3000107
C09276,3000108
C12234,3000109
C02354,3000110
C08842,3000111
C07505,3000112
C11923,3000113
C11923,3000114
C13001,3000115
C03218,3000116
C08037,3000117
C08842,3000118
C09936,3000119
C00259,3000120
C12863,3000121
C08841,3000122
C11923,3000123
C01109,3000124
C00750,3000125
C02515,3000126
C11923,3000127
C08605,3000128
C12961,3000129
C09998,3000130
C07867,3000131
C05560,3000132
C09363,3000133
C01828,3000134
C11000,3000135
C09872,3000136
C09253,3000137
C08391,3000138
C05704,3000139
C01048,3000140
C03047,3000141
C12942,3000142
C00272,3000143
C08662,3000144
C06791,3000145
C10656,3000146
C09405,3000147
C12517,3000148
C05622,3000149
C03277,3000150
C11464,3000151
C07648,3000152
C07212,3000153
C02250,3000154
C05689,3000155
C12942,3000156
C01109,3000157
C07648,3000158
C00750,3000159
C06791,3000160
C02515,3000161
C11709,3000162
C07867,3000163
C11923,3000164
C03218,3000165
C03218,3000166
C01154,3000167
C02331,3000168
C10755,3000169
C05078,3000170
C04108,3000171
C11923,3000172
C03218,3000173
C11227,3000174
C02342,3000175
C12907,3000176
C11709,3000177
C05996,3000178
C12942,3000179
C08027,3000180
C06055,3000181
C12942,3000182
C08945,3000183
C11919,3000184
C08027,3000185
C05996,3000186
C05622,3000187
C11709,3000188
C12682,3000189
C11923,3000190
C01909,3000191
C11919,3000192
C10270,3000193
C12598,3000194
C11919,3000195
C12982,3000196
C11923,3000197
C06147,3000198
C13440,3000199
C03351,3000200
C08027,3000201
C12722,3000202
C03218,3000203
C11923,3000204
C04361,3000205
C00614,3000206
C10867,3000207
C10852,3000208
C01909,3000209
C06885,3000210
C03218,3000211
C06811,3000212
C10852,3000213
C00614,3000214
C09671,3000215
C07033,3000216
C11923,3000217
C03218,3000218
C03771,3000219
C09165,3000220
C03218,3000221
C01909,3000222
C12084,3000223
C03851,3000224
C01333,3000225
C11000,3000226
C01521,3000227
C11709,3000228
C12961,3000229
C09750,3000230
C03218,3000231
C11923,3000232
C01109,3000233
C01525,3000234
C00844,3000235
C11709,3000236
C07220,3000237
C08945,3000238
C12942,3000239
C01563,3000240
C01954,3000241
C11923,3000242
C09947,3000243
C13449,3000244
C10955,3000245
C10516,3000246
C11919,3000247
C04582,3000248
C02134,3000249
C11919,3000250
C00331,3000251
C02608,3000252
C00844,3000253
C06403,3000254
C03218,3000255
C11000,3000256
C03771,3000257
C03218,3000258
C05196,3000259
C02354,3000260
C12094,3000261
C00969,3000262
C03363,3000263
C00732,3000264
C00094,3000265
C02902,3000266
C03412,3000267
C10239,3000268
C09363,3000269
C07058,3000270
C04105,3000271
C11883,3000272
C12094,3000273
C11923,3000274
C03474,3000275
C06403,3000276
C03649,3000277
C08842,3000278
C05958,3000279
C11923,3000280
C09339,3000281
C07803,3000282
C07058,3000283
C12124,3000284
C07523,3000285
C01109,3000286
C09184,3000287
C03218,3000288
C03218,3000289
C05128,3000290
C04034,3000291
C03556,3000292
C12961,3000293
C08120,3000294
C08945,3000295
C08925,3000296
C05961,3000297
C08945,3000298
C05098,3000299
C08945,3000300
C07648,3000301
C10906,3000302
C10778,3000303
C05276,3000304
C11923,3000305
C11309,3000306
C08945,3000307
C05277,3000308
C03047,3000309
C10397,3000310
C08945,3000311
C01521,3000312
C04313,3000313
C11923,3000314
C11873,3000315
C07212,3000316
C01521,3000317
C10553,3000318
C07212,3000319
C05010,3000320
C11923,3000321
C11923,3000322
C13440,3000323
C03556,3000324
C10553,3000325
C11929,3000326
C08945,3000327
C08749,3000328
C06678,3000329
C02902,3000330
C03218,3000331
C06403,3000332
C13372,3000333
C09827,3000334
C00969,3000335
C13440,3000336
C13440,3000337
C08945,3000338
C03556,3000339
C13440,3000340
C05258,3000341
C13440,3000342
C08945,3000343
C13440,3000344
C13440,3000345
C13440,3000346
C13440,3000347
C13440,3000348
C05258,3000349
C13440,3000350
C13440,3000351
C13440,3000352
C13440,3000353
C13440,3000354
C05128,3000355
C13440,3000356
C13440,3000357
C13440,3000358
C13440,3000359
C13440,3000360
C13440,3000361
C13440,3000362
C13440,3000363
C13440,3000364
C01959,3000365
C03883,3000366
C13440,3000367
C13440,3000368
C13440,3000369
C13440,3000370
C13440,3000371
C13440,3000372
C05258,3000373
C07227,3000374
C13440,3000375
