transaction_id,device_id
3000001,DEVICE_SM-T810 Build/NRD90M
3000002,DEVICE_UNKNOWN_DEVICE
3000003,DEVICE_UNKNOWN_DEVICE
3000004,DEVICE_UNKNOWN_DEVICE
3000005,DEVICE_UNKNOWN_DEVICE
3000006,DEVICE_UNKNOWN_DEVICE
3000007,DEVICE_UNKNOWN_DEVICE
3000008,DEVICE_Windows
3000009,DEVICE_UNKNOWN_DEVICE
3000010,DEVICE_UNKNOWN_DEVICE
3000011,DEVICE_UNKNOWN_DEVICE
3000012,DEVICE_UNKNOWN_DEVICE
3000013,DEVICE_Windows
3000014,DEVICE_UNKNOWN_DEVICE
3000015,DEVICE_UNKNOWN_DEVICE
3000016,DEVICE_Moto G (5) Plus Build/NPN25.137-72
3000017,DEVICE_UNKNOWN_DEVICE
3000018,DEVICE_UNKNOWN_DEVICE
3000019,DEVICE_iOS Device
3000020,DEVICE_UNKNOWN_DEVICE
3000021,DEVICE_UNKNOWN_DEVICE
3000022,DEVICE_UNKNOWN_DEVICE
3000023,DEVICE_UNKNOWN_DEVICE
3000024,DEVICE_UNKNOWN_DEVICE
3000025,DEVICE_UNKNOWN_DEVICE
3000026,DEVICE_UNKNOWN_DEVICE
3000027,DEVICE_UNKNOWN_DEVICE
3000028,DEVICE_SM-G930V Build/NRD90M
3000029,DEVICE_SM-G930V Build/NRD90M
3000030,DEVICE_UNKNOWN_DEVICE
3000031,DEVICE_UNKNOWN_DEVICE
3000032,DEVICE_UNKNOWN_DEVICE
3000033,DEVICE_UNKNOWN_DEVICE
3000034,DEVICE_UNKNOWN_DEVICE
3000035,DEVICE_UNKNOWN_DEVICE
3000036,DEVICE_UNKNOWN_DEVICE
3000037,DEVICE_UNKNOWN_DEVICE
3000038,DEVICE_iOS Device
3000039,DEVICE_UNKNOWN_DEVICE
3000040,DEVICE_UNKNOWN_DEVICE
3000041,DEVICE_UNKNOWN_DEVICE
3000042,DEVICE_UNKNOWN_DEVICE
3000043,DEVICE_UNKNOWN_DEVICE
3000044,DEVICE_Windows
3000045,DEVICE_UNKNOWN_DEVICE
3000046,DEVICE_UNKNOWN_DEVICE
3000047,DEVICE_UNKNOWN_DEVICE
3000048,DEVICE_UNKNOWN_DEVICE
3000049,DEVICE_UNKNOWN_DEVICE
3000050,DEVICE_UNKNOWN_DEVICE
3000051,DEVICE_UNKNOWN_DEVICE
3000052,DEVICE_UNKNOWN_DEVICE
3000053,DEVICE_UNKNOWN_DEVICE
3000054,DEVICE_UNKNOWN_DEVICE
3000055,DEVICE_UNKNOWN_DEVICE
3000056,DEVICE_UNKNOWN_DEVICE
3000057,DEVICE_Moto G (5) Build/NPP25.137-72
3000058,DEVICE_UNKNOWN_DEVICE
3000059,DEVICE_UNKNOWN_DEVICE
3000060,DEVICE_UNKNOWN_DEVICE
3000061,DEVICE_Windows
3000062,DEVICE_UNKNOWN_DEVICE
3000063,DEVICE_MacOS
3000064,DEVICE_MacOS
3000065,DEVICE_iOS Device
3000066,DEVICE_UNKNOWN_DEVICE
3000067,DEVICE_UNKNOWN_DEVICE
3000068,DEVICE_UNKNOWN_DEVICE
3000069,DEVICE_UNKNOWN_DEVICE
3000070,DEVICE_UNKNOWN_DEVICE
3000071,DEVICE_UNKNOWN_DEVICE
3000072,DEVICE_UNKNOWN_DEVICE
3000073,DEVICE_UNKNOWN_DEVICE
3000074,DEVICE_UNKNOWN_DEVICE
3000075,DEVICE_iOS Device
3000076,DEVICE_UNKNOWN_DEVICE
3000077,DEVICE_UNKNOWN_DEVICE
3000078,DEVICE_UNKNOWN_DEVICE
3000079,DEVICE_UNKNOWN_DEVICE
3000080,DEVICE_UNKNOWN_DEVICE
3000081,DEVICE_UNKNOWN_DEVICE
3000082,DEVICE_UNKNOWN_DEVICE
3000083,DEVICE_UNKNOWN_DEVICE
3000084,DEVICE_UNKNOWN_DEVICE
3000085,DEVICE_UNKNOWN_DEVICE
3000086,DEVICE_iOS Device
3000087,DEVICE_iOS Device
3000088,DEVICE_UNKNOWN_DEVICE
3000089,DEVICE_UNKNOWN_DEVICE
3000090,DEVICE_iOS Device
3000091,DEVICE_UNKNOWN_DEVICE
3000092,DEVICE_UNKNOWN_DEVICE
3000093,DEVICE_UNKNOWN_DEVICE
3000094,DEVICE_UNKNOWN_DEVICE
3000095,DEVICE_UNKNOWN_DEVICE
3000096,DEVICE_UNKNOWN_DEVICE
3000097,DEVICE_UNKNOWN_DEVICE
3000098,DEVICE_UNKNOWN_DEVICE
3000099,DEVICE_UNKNOWN_DEVICE
3000100,DEVICE_UNKNOWN_DEVICE
3000101,DEVICE_iOS Device
3000102,DEVICE_iOS Device
3000103,DEVICE_iOS Device
3000104,DEVICE_UNKNOWN_DEVICE
3000105,DEVICE_iOS Device
3000106,DEVICE_UNKNOWN_DEVICE
3000107,DEVICE_iOS Device
3000108,DEVICE_UNKNOWN_DEVICE
3000109,DEVICE_UNKNOWN_DEVICE
3000110,DEVICE_UNKNOWN_DEVICE
3000111,DEVICE_UNKNOWN_DEVICE
3000112,DEVICE_UNKNOWN_DEVICE
